"filename", "language", "JSON", "SQL", "JSON with Comments", "TypeScript", "JavaScript", "HTML", "CSS", "Markdown", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-admin-convenios\pg-admin-convenios.component.ts", "TypeScript", 0, 0, 0, 413, 0, 0, 0, 0, 0, 0, 20, 104, 537
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-convenios\pg-convenios.component.css", "CSS", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 22, 86
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-convenios\pg-convenios.component.html", "HTML", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 13, 36
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-convenios\pg-convenios.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-convenios\pg-convenios.component.ts", "TypeScript", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 36
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-datos-coordinador\pg-datos-coordinador.component.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-datos-coordinador\pg-datos-coordinador.component.html", "HTML", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 1, 30, 113
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-datos-coordinador\pg-datos-coordinador.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-datos-coordinador\pg-datos-coordinador.component.ts", "TypeScript", 0, 0, 0, 249, 0, 0, 0, 0, 0, 0, 6, 72, 327
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-dependencia\pg-dependencia.component.css", "CSS", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 2, 31, 153
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-dependencia\pg-dependencia.component.html", "HTML", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 1, 27, 92
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-dependencia\pg-dependencia.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-dependencia\pg-dependencia.component.ts", "TypeScript", 0, 0, 0, 110, 0, 0, 0, 0, 0, 0, 1, 47, 158
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-institucion\pg-institucion.component.css", "CSS", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 2, 31, 153
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-institucion\pg-institucion.component.html", "HTML", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 1, 23, 81
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-institucion\pg-institucion.component.spec.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Analista-Vinculacion\pg-institucion\pg-institucion.component.ts", "TypeScript", 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 22, 122
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cActividad\i-actividad.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cActividad\i-actividad.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 3, 22
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cActividad\s-actividad.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cActividad\s-actividad.service.ts", "TypeScript", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 2, 13, 48
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cConvenio\i-convenio.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cConvenio\i-convenio.ts", "TypeScript", 0, 0, 0, 131, 0, 0, 0, 0, 0, 0, 24, 10, 165
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cConvenio\s-convenio.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cConvenio\s-convenio.service.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 6, 21, 70
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cCoordinador\i-coordinador.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cCoordinador\s-coordinador.service.spec.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cCoordinador\s-coordinador.service.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 4, 10, 40
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cDependencia\cDependencia.spec.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\andy_\OneDrive\Documentos\Vinculacion\Front-End\Convenios\src\app\Modulos\Admin-Convenios\Clases\cDependencia\cDependencia.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 7, 20
